DateReceived,Product,SubProduct,Issue,SubIssue,Complaint,CompanyResponse,Company,State,ZIP,Tags,ConsumerConsentProvided,SubmittedVia,DateSentToCompany,CompanyResponse,TimelyResponse,ConsumerDisputed,ComplaintId
9/2/2021,"Money transfer, virtual currency, or money service",International money transfer,Money was not available when promised,None,"I used a swift transfer to transfer money from the Bank of America to my bank account in my home country. It was made on the XXXX of XXXX of XXXX  in the office of Bank of America, XXXX XXXX XXXX, XXXX. I transferred XXXX US dollars. Relationship Banker, XXXX XXXX, told me that after 5 working days I will receive money, but I did not. I want to contact them and solve this problem",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",None,None,None,Consent provided,Web,9/2/2021,Closed with monetary relief,Yes,N/A,4685237
9/27/2021,"Money transfer, virtual currency, or money service",Domestic (US) money transfer,Other service problem,None,"Today I spent over an hour and half with different Bank of America agents on the phone to answer my concern to no avail. I spoke to at least 4 different agents and a supervisor. Long story short I needed to find out the full account number ( not the last 4 only ) on an account that is listed in my "" manage accounts/ recipients '' list. This list is created by the consumer, but unfortunately, BOA would not disclose the full account number that was previously entered by the consumer. I do have different accounts under that list and I need to update/delete some to avoid sending funds to the wrong account which happened before. I called them about one account in particular with XXXX XXXX that I needed to get the full account number of but they refused. I asked to speak to a supervisor to give me that account number but again he refused ( XXXX, employee XXXX XXXX ), after an hour and half of wait! Question, those are accounts that I created myself in the past and transferred funds to in the past. Why does BOA deny the consumer access to information they actually created?",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",CA,92284,None,Consent provided,Web,9/27/2021,Closed with explanation,Yes,N/A,4756809
9/29/2021,"Money transfer, virtual currency, or money service",Check cashing service,Problem with customer service,None,"I am a college student and recently opened a Bank of America bank account about two weeks ago. I had received a financial aid check from my university and attempted to deposit the check through BofA 's mobile check deposit system. The next day my account was frozen and I had no access to any login, balance check, or any other service. After calling customer service the first time they told me I had to go in person to the bank to verify my identity to remove the freeze. Once at the bank I was told I actually needed to call customer service and receive an 'access code ' from a banker to remove the freeze. I called customer service who told me that in fact, the banker had to make the call. After informing the bank about this they told me I would need my social security card to verify my identity. Unfortunately, I go to school out of my home state and had to have my social security card mailed to me from home. After receiving my social security card a few days later I went to the bank again to verify my identity and hopefully remove the freeze. While I was there the banker told me that they were going to close the old account and open a new one. I was immediately suspicious of this as I was told that it was just a freeze that had to be removed and inquired about this but was told that this was the solution. I then asked about the check I had deposited and how I would receive the funds in this new account. The banker insisted that I would be able to deposit the check in this new account. So after creating the new account I attempted to deposit the check only to be told that it had already been deposited and was a duplicate deposit. I immediately called customer service again who told me they were going to transfer me to another department before dropping the call abruptly. I called again only to be told I had to deposit the check in person this time. It had now been two weeks since I first attempted to deposit the check. So I returned to the branch and asked to speak to someone who knew what was going on because clearly everyone I had talked to was generally incompetent and had been telling me contradictory information to what I had heard over customer service lines. The manager directed me back to the banker I had talked to before who made a call and apparently removed a freeze on my new account that I was completely unaware of to begin with as it had only been made ( in person ) a few hours before. I asked again what I should do about the check and was told by the banker to deposit it with the teller. After going to the teller to deposit it they again asked me if the check had been deposited before. I explained the situation again. From the teller window I could see essentially the entire staff working at the bank at that time gathering together clearly very confused. I waited again only to be told that apparently the check had cleared on the first account but because the account was closed today, they were mailing my money to me in a different check in approximately 7-10 business days. 

That would make it the third ( maybe fourth ) week I would have to go without being able to use my financial aid money leading me to spend my own money on necessities and expenses that should have been covered by my school 's financial aid. I was being prevented from accessing this money by BofA. At every stage of this process general confusion and incompetency was displayed by everyone I talked to with the exception of those on the customer service line who on multiple occasions had to apologize for the false information the people in the bank branch were telling me. After pushing the branch to let me access this money I was told "" there was nothing we can do '' among other blatant lies such as "" your account was actually closed yesterday '' when I witnessed in person the banker close my old account only hours before. I'm not sure whether this was an attempt to cover for the banker 's mistake ( as I had seen him clearly and easily be able to remove the freeze from my new account with a quick phone call ) or if it was just more general incompetence. Either way this bank has at every level prevented me from doing the simple process of opening a bank account and depositing a check. I even question if ethnic prejudice was involved as I am a XXXX American person who apparently was being questioned about my identity to the point where I had to have my social security card mailed from XXXX to XXXX ( risking loss of said card ) only to find out that it wasn't really necessary in the first place.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",CA,94704,None,Consent provided,Web,9/29/2021,Closed with explanation,Yes,N/A,4765279
9/21/2021,"Money transfer, virtual currency, or money service",Domestic (US) money transfer,Fraud or scam,None,"I am a US Service Member moving back to the states and found a listing for XXXX XXXX XXXX # XXXX XXXX XXXX, CA XXXX on several real estates websites and XXXX. XXXX XXXX XXXX contacted me over email and XXXX and I signed a lease agreement and paid the first months rent and security deposit of {$3500.00}. This morning I was contacted to pay for homeowner association fees and I found a listing for the actual property manager of XXXX XXXX XXXX XXXX. They said that the unit is not available and already has tenants as well as XXXX XXXX XXXX doesn't work for them. Below is XXXX XXXX XXXX contact information. 

Property Management : Show rentals property My Telephone Number : ( XXXX ) XXXX ( text preferred ) Business XXXX Line : ( XXXX ) XXXX XXXX XXXX XXXX XXXXXXXX License ID : XXXX XXXX XXXX",Company believes it acted appropriately as authorized by contract or law,UNITED SERVICES AUTOMOBILE ASSOCIATION,SC,29910,Servicemember,Consent provided,Web,9/21/2021,Closed with explanation,Yes,N/A,4738419
10/4/2021,"Money transfer, virtual currency, or money service",Check cashing service,Confusing or misleading advertising or marketing,None,Deposited a check from my grandmother for {$5000.00} on XX/XX/21 and it has the check on a hold. Meanwhile the same day they took the funds out of her account and have fully verified the check. Spoke with the bank this morning XX/XX/21 and they still said I have to wait till XX/XX/21 to receive the funds. Not fair how they can remove the funds and hold them while giving me the excuse they are waiting for it to clear.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,TRUIST FINANCIAL CORPORATION,NC,28451,None,Consent provided,Web,10/4/2021,Closed with monetary relief,Yes,N/A,4774673
9/1/2021,"Money transfer, virtual currency, or money service",International money transfer,Other transaction problem,None,"Husband initiated an international wire transfer through our bank, XXXX, on XX/XX/XXXX. After delays and errors, our funds were returned to us. Still owing the debt, I initiated the international wire transfer on XX/XX/XXXX from our XXXX account. Bank of America is serving as their intermediary and repeats the same questions and can not comprehend the answers supplied and has delayed the transfer. ( We made two transfers to the same recipient and account from our XXXX account in XXXX and they were successfully transferred in the XXXX timeframe Swift dictates. ) We have spoken to every member of XXXX 'XXXX  Bank Operations Support Center. XXXX has communicated information to Bank of America by way of amendments twice now. Bank of America still holds our funds. This has cost us time and damaged our reputation.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",SC,None,Servicemember,Consent provided,Web,9/1/2021,Closed with explanation,Yes,N/A,4682403
9/15/2021,"Money transfer, virtual currency, or money service",Domestic (US) money transfer,Fraud or scam,None,"{$13000.00} was illegally wired out of my account of XX/XX/2021. Regions Bank did not assist me in trying to recover the money and did not reach out to me, even though they were made aware it was fraudulent in XXXX. 

I did not learn that my money was sent to Regions Bank until XX/XX/2021, when my local police department called me to inform me. I now have the police report that indicates the money was wired to someone named XXXX XXXX in Michigan, but that the money ended up at a Regions Bank in Alabama. Regions Bank will not tell me where the money went after it was sent to Alabama and the police have been unable to find evidence that anyone named XXXX XXXX exists in Michigan, even after visiting the home of the address in XXXX XXXX, Michigan. I would like to know where the money was wired after it was in Alabama or who took the money out of the bank. And whether or not that money was taken out through wire, in person, or through an ATM. Since police are unaware of an XXXX XXXX and the money was sent to someone in Michigan from Connecticut to a bank in Alabama, why didn't Regions Bank reach out to confirm this was legit?",Company has responded to the consumer and the CFPB and chooses not to provide a public response,REGIONS FINANCIAL CORPORATION,CT,None,None,Consent provided,Web,9/15/2021,Closed with explanation,Yes,N/A,4723857
9/27/2021,"Money transfer, virtual currency, or money service",Domestic (US) money transfer,Fraud or scam,None,"I have fallen victim to a widely reported scam targeting XXXX  XXXX XXXX customers using the XXXX money transfer service. {$3100.00} was stolen from me. The scammers were impersonating XXXX  XXXX XXXX customer service, spoofed the XXXX 1-800 Customer Service number XXXX and knew various account details with BOA. Upon reporting the scam to XXXX  XXXX XXXX I was a asked to submit a variety of paperwork and file a police report. I was able to also provide the scammers bank, last 4 digits of the account number, and first name the checking account was registered under. I complied with all of the requests made by XXXX. The case investigating this claim was then shortly closed, and I was advised to contact the recipient of the stolen funds ( I.E. the scammers ). Neither the police, XXXX  XXXX XXXX, or BB & T bank have helped me resolve this issue. The fraudsters also tried to use my identity to register for benefits using through California EDD via the "" XXXX XXXX '' app. No one from the California EDD office has returned my calls or e-mails. Recently I was contacted by XXXX  notifying me that I was being kicked off of XXXX for violating the Terms Of Service, but they would not specify what rule I had in fact violated. The terms do however specify that you can be kicked off the platform if you fall victim to this type of scam.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,TRUIST FINANCIAL CORPORATION,NY,10607,None,Consent provided,Web,9/27/2021,Closed with explanation,Yes,N/A,4757861
9/21/2021,"Money transfer, virtual currency, or money service",Domestic (US) money transfer,Fraud or scam,None,"On Monday XX/XX/2021, around XXXX XXXX Pacific Time I received a text message from Wells Fargo asking if I had made a charge at a XXXX for {$100.00}. I responded to the text with a NO. It is not unusual for me to get these texts from the bank as I am on a fraud alert system with them. I took my kids to school and was about to call the bank when my caller ID showed WELLS FARGO, so I answered. They were calling in regard to the fraudulent charge at XXXX. The person on the other end had my account details and we discussed the fraudulent charges. The person then asked me to read back an authorization code that they texted me, I read the code back to the person. They then told me that my online banking would be suspended for a day while they investigated this. 10 minuets later, I received an email from Wells Fargo saying that my wire transfer for {$24000.00} was initiated. I called the bank within 10 minuets of this email at XXXX XXXX  to report that this was not initiated by me, and that wire fraud had taken place. The banker sent me to the fraud department and a claim was filed ( I will provide claim numbers at the end ). I was very nervous with the bank and insisted that they get in touch with XXXX XXXX  ( where the wire was sent ) to stop the transfer since it was fraudulent. WF told me that the Fraud claim had been initiated. I then called XXXX XXXX  and was told that WF would be handling everything. I proceeded to call WF another 4 times and received several more claim numbers. 

Our account showed "" Pending '' on the wire transfer for about 30 hours. After spending roughly 2 days on the phone with WF claims and fraud departments, we were told that the money was gone, and that our claim was denied. We have continued to talk to WF on a daily basis and they continue to tell us that it is not their problem. We have a text and phone call trail that shows that it IS their problem, and that WF did not get into contact with the receiving bank for 30 HOURS,,,,, I called within 10 minuets in which time the fraud could have been stopped. WF then proceeded to imply that we ourselves were involved in this transfer which is completely bogus. 

We have filed a complaint with the Federal Trade Commission and are still getting no answers from WF. They continue to deny our claim and essentially have stolen $ XXXX from us. Please see all claim numbers below for WF Expedited Claim # filed immediately after email regarding wire transfer # XXXX phone contact XXXX Separate wire fraud claim same day filed # XXXX I spoke with 4 separate bankers on the XXXX to stop the wire We continued on this path and were given several more case numbers # XXXX escalation to supervisor phone XXXX Another case manager was given to us # XXXX contact XXXX : XXXX WE also had another fraud person at WF supervisor who told us that WF should have stopped this wire as it was from a new device and IP address in Virginia, we live in California. Her name is XXXX XXXX We then get a message from the dispute resolution department saying : "" we have determined that the transaction was performed by someone who had your authorization '' My authorization was a code that was sent to my text/phone by WELLS FARGO XXXX 

This is absolutely criminal",Company has responded to the consumer and the CFPB and chooses not to provide a public response,WELLS FARGO & COMPANY,CA,93546,None,Consent provided,Web,9/21/2021,Closed with explanation,Yes,N/A,4739585
9/17/2021,"Money transfer, virtual currency, or money service",Mobile or digital wallet,Fraud or scam,None,"On XX/XX/21, the same day my grandmother died, there were two {$140.00}, one {$500.00}, and two {$80.00} ATM withdrawals taken out of my account. When this happened I received a phone call from a person pretending to be from Wells Fargo. The man told me my account was hacked, and wanted to sign me up for a new secure service through Wells Fargo, where at that exact time I gave him my information, the money was taken out of my account. Most of this money was apart of a federal grant from XXXX for my education. These withdrawals happened at XXXX XXXX XXXX  XXXX in XXXX XXXX CA at an ATM with the ID XXXX when I was at my home in Northern, CA, nearly 10 hours north. These withdrawals were fraudulent and I was scammed. I am a struggling XXXX  XXXX  and I expressed all of this to Wells Fargo, where I filed a claim about these fraudulent charges. At the same time I also filed a police report with the XXXX County Sheriffs department. Wells Fargo denied my claim, even though the sheriff department classified the case as fraudulent, because I authorized the charges on my phone. I did not know what was happening when I received the scam phone call, my grandmother died on that day, I have the death certificate, and I did not understand what I was authorizing. I also received {$410.00} in overdraft charges, which I had to pay, even though I did not make the transactions that caused the overdraft fee. Wells Fargo told me that I originally would not have to pay those, but in the end I did. I have been completely scammed out off nearly {$1300.00}, and that is a lot of money for a broke XXXX  XXXX.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,WELLS FARGO & COMPANY,CA,95554,None,Consent provided,Web,9/18/2021,Closed with monetary relief,Yes,N/A,4731539
9/7/2021,"Money transfer, virtual currency, or money service",Traveler's check or cashier's check,Problem with customer service,None,"On XXXX I deposited a cashiers check for {$20000.00} for an engagement ring. I was not notified until after the transaction that the funds would be under two separate holds. I would be allowed {$5300.00} to be released on XXXX and the remainder to be released on XX/XX/15. When I called and spoke with the representative on XXXX XXXX XXXX at US bank on XXXX XXXX, XXXX Kentucky branch number XXXX. She informed me that despite it being a guaranteed check the two separate holds were standard procedure when I reached out to my loan officer with the news, she assured me this was inaccurate. She then called the bank on my behalf to verify her position with the bank and provide any credentials needed. XXXX XXXX continued to say that this was standard procedure even given the proof that the financial institution guaranteed the deposit. I have since been promised a call from the branch manager, however when I call. My calls are denied unless I call from a number not attached to me. I have reason to believe this is extremely unnecessary in this situation and would appreciate any help available. Thank you.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,U.S. BANCORP,KY,404XX,None,Consent provided,Web,9/7/2021,Closed with explanation,Yes,N/A,4699942
9/18/2021,"Money transfer, virtual currency, or money service",Mobile or digital wallet,Fraud or scam,None,"I am filing a complaint with Bitcoin of America I was scammed out of {$5800.00} XX/XX/2021 I received a phone call saying that they were the US government or US Marshal that they had all of my information they were linking up with the XXXX  XXXX Police Department which already had my case they told me that my social security number was compromised and I was going to be arrested or had a warrant out for my arrest they told me I needed to verify my asset immediately and that they would give me a new social security number and transfer all of my assets to a new Social Security wallet which they then sent a text message with a q r code they had me go and withdraw {$5800.00} ( XXXX $ kept getting rejected ) so they let me keep it : ( from my bank and take it to bitcoin of America ATM ( which they said was a assets verification machine ) in the form of cash that they had me remove from my back leaving XXXX $ in each of my checking accounts to keep them open ) they had me stay on the phone with him the whole time ( 3 hour process ) had me the create an account was created with all of my information they had me scan the fake Social Security wallet which was really a Bitcoin of America wallet underneath the QR code scanner on the Bitcoin ofamerica ATM machine as soon as I did. They had me go back out to my car and send them a picture of the receipt with Bitcoin of America to the same text number... .. they then continue to tell me that two XXXX  XXXX police officers would be at my house and scan the new q r code- and all of the funds that I entered into that Bitcoin ( ADR ) machine would go back into my XXXX XXXX XXXX account XXXX I have tried to reach my bank but because I pulled the cash out myself, ( via threat ) they're unwilling to help me I have not heard anything back from Bitcoin of America I have filed reports with the police department the Federal Trade Commission for economic crimes unit FBI and numerous other sites like XXXX XXXX ... .without any help tracking down the scammer or returning the funds .... I cant be the only one they did this too. They were very malacious and scammed all the money I had to my name i have XXXX XXXX year old and am being told to leave my home by the end of the month can someone please support my case it cant just be a lost cause! : ( when i went to sign back in to bitcoinofamerica.com it says my phone or account does not exist!",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"SandP Solutions, Inc.",VA,23462,None,Consent provided,Web,9/18/2021,Closed with explanation,Yes,N/A,4733031
9/1/2021,"Money transfer, virtual currency, or money service",Traveler's check or cashier's check,Lost or stolen check,None,WE SOLD A VEHICLE ON XX/XX/2021 AND WERE GIVEN A CASHIERS CHECK FOR PAYMENT. WE DEPOSITED THE CHECK ON XXXX TO OUR BANK XXXX XXXX AND WERE GIVEN A DATE OF XX/XX/2021 FOR THOSE FUNDS TO BE RELEASED. THAT DATE CAME AND FUNDS WERE NOT RELEASED. WE IMMEDIATELY CALLED XXXX XXXX TO FIND OUT WHAT HAPPENED AND WERE GIVEN A MESSAGE TO CONTACT THE ISSUER OF THE CHECK. THIS WAS THE MESSAGE THAT WAS GIVEN TO XXXX XXXX. BANK OF AMERICA WAS WHO ISSUED THE CHECK.. THEY TOLD US THE FUNDS WERE RELEASED ON XX/XX/2021 AND THAT EVERYTHING WAS FINE. XXXX XXXX IS SAYING NOTHING OTHER THEN THEY HAVE NOT RELEASED THE FUNDS AND THE ISSUE IS WITH BANK OF AMERICA. THE CHECK WAS FOR {$19000.00} DOLLARS AND WE HAVE YET TO RECIEVE A LOGICAL EXPLAINATION OF WHO HAS THE FUNDS AND WHERE THEY ARE. BOTH BANKS ARE BLAMING EACH OTHER AND NO ONE HAS A DIFINITIVE ANSWER. XXXX XXXX IS SAYING THAT BANK OF AMERICA HAS NOT RELEASED THE FUNDS AND BANK OF AMERICA IS SAYING THAT XXXX XXXX HAS NOT RELEASED THE FUNDS.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",CA,924XX,None,Consent provided,Web,9/1/2021,Closed with explanation,Yes,N/A,4682793
9/25/2021,"Money transfer, virtual currency, or money service",Mobile or digital wallet,Fraud or scam,None,Someone broke into my house stole my XXXX my wifes belongings and other valuables. The thief also XXXX himself {$500.00} twice and the bank is refusing to reimburse my money if tho it was clearly fraud.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,WELLS FARGO & COMPANY,FL,33132,None,Consent provided,Web,9/25/2021,Closed with explanation,Yes,N/A,4752684
9/12/2021,"Money transfer, virtual currency, or money service",Foreign currency exchange,Problem with customer service,None,"I have a complain to different gov agencies but Iwas hoping to receive help from CFPB because citibank send my money to XXXX XXXX  XXXX and XXXX on XXXX I have called citibank and someone named grace confirm that i have sent to XXXX XXXX XXXX XXXXXXXX XXXX and this account still active with them. Why they do not compliance with regulations. I know they should have frozen their funs and investigate. As customer I was told no rights and they protect scammers information. Court subpoene cost per hour distance Why citibank said they did wire to XXXX XXXXXXXX XXXX XXXXXXXX XXXX and on the letter of XX/XX/XXXX, mention this XXXX XXXXXXXX and XXXX. Who order to paid them I did not Appreciated if you could help I do not know this bank and where ( conuntry and city )",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"CITIBANK, N.A.",NY,113XX,None,Consent provided,Web,9/12/2021,Closed with explanation,Yes,N/A,4713123
